name,language,category,provider,meaning
2B1Q,en,computer_science,wikipedia,2 binary 1 quaternary
3GPP,en,computer_science,wikipedia,3rd Generation Partnership Project – 3G comms
3GPP2,en,computer_science,wikipedia,3rd Generation Partnership Project 2
AAA,en,computer_science,wikipedia,"Authentication, authorization, and accounting"
AABB,en,computer_science,wikipedia,Axis Aligned Bounding Box
AAC,en,computer_science,wikipedia,Advanced Audio Coding
AAL,en,computer_science,wikipedia,ATM Adaptation Layer
AALC,en,computer_science,wikipedia,ATM Adaptation Layer Connection
AARP,en,computer_science,wikipedia,AppleTalk Address Resolution Protocol
ABAC,en,computer_science,wikipedia,Attribute-Based Access Control
ABCL,en,computer_science,wikipedia,Actor-Based Concurrent Language
ABI,en,computer_science,wikipedia,Application Binary Interface
ABM,en,computer_science,wikipedia,Asynchronous Balanced Mode
ABR,en,computer_science,wikipedia,Area Border Router
ABR,en,computer_science,wikipedia,Auto Baud-Rate detection
AC,en,computer_science,wikipedia,Acoustic Coupler
AC,en,computer_science,wikipedia,Alternating Current
AC,en,computer_science,wikipedia,Authorization certificate
ACD,en,computer_science,wikipedia,Automatic Call Distributor
ACE,en,computer_science,wikipedia,Advanced Computing Environment
ACID,en,computer_science,wikipedia,Atomicity Consistency Isolation Durability
ACK,en,computer_science,wikipedia,Amsterdam Compiler Kit
ACK,en,computer_science,wikipedia,ACKnowledgement
ACL,en,computer_science,wikipedia,Access Control List
ACL,en,computer_science,wikipedia,Active Current Loop
ACM,en,computer_science,wikipedia,Association for Computing Machinery
ACME,en,computer_science,wikipedia,Automated Classification of Medical Entities
ACP,en,computer_science,wikipedia,Airline Control Program
ACPI,en,computer_science,wikipedia,Advanced Configuration and Power Interface
ACR,en,computer_science,wikipedia,Attenuation to Crosstalk Ratio
ACR,en,computer_science,wikipedia,Allowed Cell Rate
AD,en,computer_science,wikipedia,Administrative Domain
AD,en,computer_science,wikipedia,Active Directory
ADB,en,computer_science,wikipedia,Apple Desktop Bus
ADC,en,computer_science,wikipedia,Analog-to-Digital Converter
ADC,en,computer_science,wikipedia,Apple Display Connector
ADCCP,en,computer_science,wikipedia,Advanced Data Communications Control Procedures
ADDS,en,computer_science,wikipedia,Applied Digital Data Systems
ADO,en,computer_science,wikipedia,ActiveX Data Objects
ADSL,en,computer_science,wikipedia,Asymmetric Digital Subscriber Line
ADT,en,computer_science,wikipedia,Abstract Data Type
AE,en,computer_science,wikipedia,Adaptive Equalizer
AE,en,computer_science,wikipedia,Authenticated encryption
AEAD,en,computer_science,wikipedia,Authenticated encryption with associated data
AES,en,computer_science,wikipedia,Advanced Encryption Standard
AF,en,computer_science,wikipedia,Anisotropic Filtering
AFIPS,en,computer_science,wikipedia,American Federation of Information Processing Societies
AFP,en,computer_science,wikipedia,Apple Filing Protocol
AGI,en,computer_science,wikipedia,Artificial General Intelligence
AGP,en,computer_science,wikipedia,Accelerated Graphics Port
AH,en,computer_science,wikipedia,Authentication Header
AH,en,computer_science,wikipedia,Active Hub
AHCI,en,computer_science,wikipedia,Advanced Host Controller Interface
AI,en,computer_science,wikipedia,Artificial Intelligence
AJAX,en,computer_science,wikipedia,Asynchronous JavaScript and XML
AL,en,computer_science,wikipedia,Access List
AL,en,computer_science,wikipedia,Active Link
ALAC,en,computer_science,wikipedia,Apple Lossless Audio Codec
ALE,en,computer_science,wikipedia,Annualized loss expectancy
ALSA,en,computer_science,wikipedia,Advanced Linux Sound Architecture
ALU,en,computer_science,wikipedia,Arithmetic and Logical Unit
AM,en,computer_science,wikipedia,Active Matrix
AM,en,computer_science,wikipedia,Allied Mastercomputer
AM,en,computer_science,wikipedia,Amplitude Modulation
AM,en,computer_science,wikipedia,Access Method
AM,en,computer_science,wikipedia,Active Monitor
AMD,en,computer_science,wikipedia,Advanced Micro Devices
AMOLED,en,computer_science,wikipedia,Active-Matrix Organic Light-Emitting Diode
AMQP,en,computer_science,wikipedia,Advanced Message Queuing Protocol
AMR,en,computer_science,wikipedia,Audio Modem Riser
ANN,en,computer_science,wikipedia,Artificial Neural Network
ANSI,en,computer_science,wikipedia,American National Standards Institute
ANT,en,computer_science,wikipedia,Another Neat Tool
AOE,en,computer_science,wikipedia,ATA over Ethernet
AOP,en,computer_science,wikipedia,Aspect-Oriented Programming
AOT,en,computer_science,wikipedia,Ahead-Of-Time
AP,en,computer_science,wikipedia,Access point
APCI,en,computer_science,wikipedia,Application-Layer Protocol Control Information
API,en,computer_science,wikipedia,Application Programming Interface
APIC,en,computer_science,wikipedia,Advanced Programmable Interrupt Controller
APIPA,en,computer_science,wikipedia,Automatic Private IP Addressing
APL,en,computer_science,wikipedia,A Programming Language
APR,en,computer_science,wikipedia,Apache Portable Runtime
APT,en,computer_science,wikipedia,Advanced persistent threat
ARC,en,computer_science,wikipedia,Adaptive Replacement Cache
ARC,en,computer_science,wikipedia,Advanced RISC Computing
ARIN,en,computer_science,wikipedia,American Registry for Internet Numbers
ARM,en,computer_science,wikipedia,Advanced RISC Machines
ARO,en,computer_science,wikipedia,Annualized rate of occurrence
AROS,en,computer_science,wikipedia,AROS Research Operating System
ARP,en,computer_science,wikipedia,Address Resolution Protocol
ARPA,en,computer_science,wikipedia,Address and Routing Parameter Area
ARPA,en,computer_science,wikipedia,Advanced Research Projects Agency
AS,en,computer_science,wikipedia,Access Server
ASCII,en,computer_science,wikipedia,American Standard Code for Information Interchange
ASG,en,computer_science,wikipedia,Abstract Semantic Graph
ASIC,en,computer_science,wikipedia,Application-Specific Integrated Circuit
ASK,en,computer_science,wikipedia,Amplitude-shift keying
ASLR,en,computer_science,wikipedia,Address Space Layout Randomization
ASM,en,computer_science,wikipedia,Algorithmic State Machine
ASP,en,computer_science,wikipedia,Active Server Pages
ASP,en,computer_science,wikipedia,Application Service Provider
ASR,en,computer_science,wikipedia,Asynchronous Signal Routine
AST,en,computer_science,wikipedia,Abstract Syntax Tree
AT,en,computer_science,wikipedia,Access Time
AT,en,computer_science,wikipedia,Advanced Technology
AT,en,computer_science,wikipedia,Active Terminator
ATA,en,computer_science,wikipedia,Advanced Technology Attachment
ATAG,en,computer_science,wikipedia,Authoring Tool Accessibility Guidelines
ATAPI,en,computer_science,wikipedia,Advanced Technology Attachment Packet Interface
ATM,en,computer_science,wikipedia,Asynchronous Transfer Mode
AUP,en,computer_science,wikipedia,Acceptable use policy
AVC,en,computer_science,wikipedia,Advanced Video Coding
AVI,en,computer_science,wikipedia,Audio Video Interleaved
AWK,en,computer_science,wikipedia,Aho Weinberger Kernighan
AWS,en,computer_science,wikipedia,Amazon Web Services
AWT,en,computer_science,wikipedia,Abstract Window Toolkit
BAAS,en,computer_science,wikipedia,Backend as a service
BAAS,en,computer_science,wikipedia,Blockchain as a service
BAAS,en,computer_science,wikipedia,Banking as a service
BAL,en,computer_science,wikipedia,Basic Assembly Language
BAM,en,computer_science,wikipedia,Block Availability Map
BAN,en,computer_science,wikipedia,Body area network
BAS,en,computer_science,wikipedia,Building automation systems
BASIC,en,computer_science,wikipedia,Beginner's All-Purpose Symbolic Instruction Code
BBS,en,computer_science,wikipedia,Bulletin Board System
BC,en,computer_science,wikipedia,Business Continuity
BCC,en,computer_science,wikipedia,Blind Carbon Copy
BCD,en,computer_science,wikipedia,Binary Coded Decimal
BCD,en,computer_science,wikipedia,Boot Configuration Data
BCNF,en,computer_science,wikipedia,Boyce–Codd normal form
BCP,en,computer_science,wikipedia,Business continuity planning
BCP,en,computer_science,wikipedia,Best Current Practice
BCS,en,computer_science,wikipedia,British Computer Society
BEEP,en,computer_science,wikipedia,Blocks Extensible Exchange Protocol
BER,en,computer_science,wikipedia,Basic Encoding Rules
BER,en,computer_science,wikipedia,Bit Error Rate
BFD,en,computer_science,wikipedia,Bidirectional Forwarding Detection
BFD,en,computer_science,wikipedia,Binary File Descriptor
BFS,en,computer_science,wikipedia,Breadth-First Search
BFT,en,computer_science,wikipedia,Byzantine Fault Tolerant
BGP,en,computer_science,wikipedia,Border Gateway Protocol
BI,en,computer_science,wikipedia,Business Intelligence
BIA,en,computer_science,wikipedia,Business impact analysis
BIND,en,computer_science,wikipedia,Berkeley Internet Name Domain
BIOS,en,computer_science,wikipedia,Basic Input Output System
BJT,en,computer_science,wikipedia,Bipolar Junction Transistor
BMP,en,computer_science,wikipedia,Basic Multilingual Plane
BNC,en,computer_science,wikipedia,Baby Neill Constant
BOINC,en,computer_science,wikipedia,Berkeley Open Infrastructure for Network Computing
BOM,en,computer_science,wikipedia,Byte Order Mark
BPA,en,computer_science,wikipedia,Oracle Business Process Analysis Suite
BPDU,en,computer_science,wikipedia,Bridge Protocol Data Units
BPEL,en,computer_science,wikipedia,Business Process Execution Language
BPL,en,computer_science,wikipedia,Broadband over Power Lines
BPM,en,computer_science,wikipedia,Business Process Modeling
BPM,en,computer_science,wikipedia,Business Process Management
BPS,en,computer_science,wikipedia,bits per second
BRM,en,computer_science,wikipedia,Business Reference Model
BRMS,en,computer_science,wikipedia,Business Rule Management System
BRR,en,computer_science,wikipedia,Business Readiness Rating
BRS,en,computer_science,wikipedia,Broadband Radio Service
BSA,en,computer_science,wikipedia,Business Software Alliance
BSD,en,computer_science,wikipedia,Berkeley Software Distribution
BSOD,en,computer_science,wikipedia,Blue Screen of Death
BSS,en,computer_science,wikipedia,Basic service set
BSS,en,computer_science,wikipedia,Block Started by Symbol
BTAM,en,computer_science,wikipedia,Basic Telecommunications Access Method
BURS,en,computer_science,wikipedia,Bottom-up rewrite system
BYOD,en,computer_science,wikipedia,Bring Your Own Device
CA,en,computer_science,wikipedia,"Computer Associates International, Inc."
CA,en,computer_science,wikipedia,Certificate authority
CAAS,en,computer_science,wikipedia,Content as a service
CAD,en,computer_science,wikipedia,Computer-aided design
CAE,en,computer_science,wikipedia,Computer-aided engineering
CAI,en,computer_science,wikipedia,Computer-aided instruction
CAID,en,computer_science,wikipedia,Computer-aided industrial design
CAM,en,computer_science,wikipedia,Computer-aided manufacturing
CAP,en,computer_science,wikipedia,Consistency availability partition tolerance
CAPA,en,computer_science,wikipedia,Corrective and preventive actiont
CAPI,en,computer_science,wikipedia,Cryptographic Application Programming Interface
CAPTCHA,en,computer_science,wikipedia,Completely automated public Turing test to tell computers and humans apart
CAQ,en,computer_science,wikipedia,Computer-aided quality assurance
CASB,en,computer_science,wikipedia,Cloud access security broker
CASE,en,computer_science,wikipedia,Computer-aided software engineering
CAT,en,computer_science,wikipedia,Computer-aided translation
CBC,en,computer_science,wikipedia,Cipher block chaining
CBPRNG,en,computer_science,wikipedia,Counter-based pseudo-random number generator
CBRNG,en,computer_science,wikipedia,Counter-based random number generator
CC,en,computer_science,wikipedia,C compiler
CC,en,computer_science,wikipedia,Creative Commons
CC,en,computer_science,wikipedia,Carbon copy
CCM,en,computer_science,wikipedia,Central control module
CCMP,en,computer_science,wikipedia,CCM mode Protocol
CD,en,computer_science,wikipedia,Compact Disc
CD-R,en,computer_science,wikipedia,CD-Recordable
CDE,en,computer_science,wikipedia,Common Desktop Environment
CDMA,en,computer_science,wikipedia,Code-division multiple access
CDN,en,computer_science,wikipedia,Content delivery network
CDP,en,computer_science,wikipedia,Continuous data protection
CDP,en,computer_science,wikipedia,Cisco Discovery Protocol
CDSA,en,computer_science,wikipedia,Common Data Security Architecture
CEI,en,computer_science,wikipedia,Comparably efficient interconnection
CER,en,computer_science,wikipedia,Canonical Encoding Rules
CERT,en,computer_science,wikipedia,Computer emergency response team
CES,en,computer_science,wikipedia,Consumer Electronics Show
CF,en,computer_science,wikipedia,Compact Flash
CFD,en,computer_science,wikipedia,Computational fluid dynamics
CFF,en,computer_science,wikipedia,Compact Font Format
CFG,en,computer_science,wikipedia,Context-free grammar
CFG,en,computer_science,wikipedia,Control-flow graph
CG,en,computer_science,wikipedia,Computer graphics
CGA,en,computer_science,wikipedia,Color graphics array
CGI,en,computer_science,wikipedia,Common Gateway Interface
CGI,en,computer_science,wikipedia,Computer-generated imagery
CGT,en,computer_science,wikipedia,Computational Graph Theory
CHAP,en,computer_science,wikipedia,Challenge-Handshake Authentication Protocol
CHS,en,computer_science,wikipedia,Cylinder–head–sector
CIA,en,computer_science,wikipedia,"Confidentiality, Integrity, Availability"
CICS,en,computer_science,wikipedia,Customer Information Control System
CIDR,en,computer_science,wikipedia,Classless inter-domain routing
CIM,en,computer_science,wikipedia,Common Information Model
CIO,en,computer_science,wikipedia,Chief information officer
CIP,en,computer_science,wikipedia,Critical infrastructure protection
CIR,en,computer_science,wikipedia,Committed information rate
CIS,en,computer_science,wikipedia,Centre for Internet and Society
CIS,en,computer_science,wikipedia,Comodo Internet Security
CIS,en,computer_science,wikipedia,Center for Internet Security
CIS,en,computer_science,wikipedia,Continuous ink system
CIS,en,computer_science,wikipedia,Contact image sensor
CIS,en,computer_science,wikipedia,Computer and information science
CISA,en,computer_science,wikipedia,Cybersecurity and Infrastructure Security Agency
CISC,en,computer_science,wikipedia,Complex-instruction-set computer
CISO,en,computer_science,wikipedia,Chief information security officer
CIT,en,computer_science,wikipedia,Computer Information Technology
CIT,en,computer_science,wikipedia,Center for Information Technology
CJK,en,computer_science,wikipedia,"Chinese, Japanese, and Korean"
CJKV,en,computer_science,wikipedia,"Chinese, Japanese, Korean, and Vietnamese"
CLI,en,computer_science,wikipedia,Command line interface
CLI,en,computer_science,wikipedia,Command line interpreter
CLR,en,computer_science,wikipedia,Common Language Runtime
CM,en,computer_science,wikipedia,Configuration management
CM,en,computer_science,wikipedia,Content management
CMM,en,computer_science,wikipedia,Capability Maturity Model
CMMI,en,computer_science,wikipedia,Capability Maturity Model Integration
CMOS,en,computer_science,wikipedia,Complementary metal-oxide semiconductor
CMOS,en,computer_science,wikipedia,Complementary metal–oxide–semiconductor
CMS,en,computer_science,wikipedia,Content management system
CN,en,computer_science,wikipedia,Canonical Name
CN,en,computer_science,wikipedia,Common Name
CNC,en,computer_science,wikipedia,Computerized numerical control
CNG,en,computer_science,wikipedia,Cryptographic Next Generation
CNR,en,computer_science,wikipedia,Communications and Networking Riser
COM,en,computer_science,wikipedia,Component Object Model or communication
COPE,en,computer_science,wikipedia,"Corporate-owned, personally enabled"
CORBA,en,computer_science,wikipedia,Common Object Request Broker Architecture
CORS,en,computer_science,wikipedia,Cross-origin resource sharing
COTS,en,computer_science,wikipedia,Commercial off-the-shelf
CP/CMS,en,computer_science,wikipedia,Control Program/Cambridge Monitor System
CP/M,en,computer_science,wikipedia,Control Program/Monitor
CPA,en,computer_science,wikipedia,Cell processor architecture
CPAN,en,computer_science,wikipedia,Comprehensive Perl Archive Network
CPE,en,computer_science,wikipedia,Customer premises equipment
CPF,en,computer_science,wikipedia,Control Program Facility
CPRI,en,computer_science,wikipedia,Common Public Radio Interface
CPS,en,computer_science,wikipedia,Characters per second
CPU,en,computer_science,wikipedia,Central processing unit
CQRS,en,computer_science,wikipedia,Command Query Responsibility Segregation
CQS,en,computer_science,wikipedia,Command–query separation
CR,en,computer_science,wikipedia,Carriage return
CRAN,en,computer_science,wikipedia,Comprehensive R Archive Network
CRC,en,computer_science,wikipedia,Cyclic redundancy check
CRL,en,computer_science,wikipedia,Certificate revocation list
CRLF,en,computer_science,wikipedia,Carriage return line feed
CRM,en,computer_science,wikipedia,Customer Relationship Management
CRS,en,computer_science,wikipedia,Computer Reservations System
CRT,en,computer_science,wikipedia,Cathode-ray tube
CRT,en,computer_science,wikipedia,Cathode Ray Tube
CRUD,en,computer_science,wikipedia,"Create, read, update and delete"
CS,en,computer_science,wikipedia,Computer Science
CS,en,computer_science,wikipedia,Cable Select
CSE,en,computer_science,wikipedia,Computer science and engineering
CSI,en,computer_science,wikipedia,Common System Interface
CSM,en,computer_science,wikipedia,Compatibility support module
CSMA/CA,en,computer_science,wikipedia,Carrier sense multiple access / collision avoidance
CSMA/CD,en,computer_science,wikipedia,Carrier sense multiple access / collision detection
CSO,en,computer_science,wikipedia,Chief security officer
CSP,en,computer_science,wikipedia,Cloud service provider
CSP,en,computer_science,wikipedia,Communicating sequential processes
CSP,en,computer_science,wikipedia,Cryptographic Service Provider
CSR,en,computer_science,wikipedia,Certificate signing request
CSRF,en,computer_science,wikipedia,Cross-site request forgery
CSS,en,computer_science,wikipedia,Closed-source software
CSS,en,computer_science,wikipedia,Content-scrambling system
CSS,en,computer_science,wikipedia,Cascading style sheets
CSU,en,computer_science,wikipedia,Channel service unit
CSU/DSU,en,computer_science,wikipedia,Channel service unit / data service unit
CSV,en,computer_science,wikipedia,Comma-separated values
CT,en,computer_science,wikipedia,Computerized tomography
CTAKES,en,computer_science,wikipedia,clinical Text Analysis and Knowledge Extraction System
CTAN,en,computer_science,wikipedia,Comprehensive TeX Archive Network
CTCP,en,computer_science,wikipedia,Client-to-client protocol
CTFE,en,computer_science,wikipedia,Compile-time function execution
CTI,en,computer_science,wikipedia,Computer telephony integration
CTL,en,computer_science,wikipedia,Computation tree logic
CTM,en,computer_science,wikipedia,Close To Metal
CTS,en,computer_science,wikipedia,Clear to send
CTSS,en,computer_science,wikipedia,Compatible Time-Sharing System
CUA,en,computer_science,wikipedia,Common User Access
CVC,en,computer_science,wikipedia,Card Verifiable Certificate
CVE,en,computer_science,wikipedia,Common Vulnerabilities and Exposures
CVS,en,computer_science,wikipedia,Concurrent Versions System
CVSS,en,computer_science,wikipedia,Common Vulnerability Scoring System
DAC,en,computer_science,wikipedia,Digital-to-analog converter
DAC,en,computer_science,wikipedia,Discretionary access control
DAL,en,computer_science,wikipedia,Database Abstraction Layer
DAM,en,computer_science,wikipedia,Digital asset management
DAM,en,computer_science,wikipedia,Database activity monitoring
DAO,en,computer_science,wikipedia,Data Access Objects
DAO,en,computer_science,wikipedia,Data Access Object
DAO,en,computer_science,wikipedia,Disk-At-Once
DAP,en,computer_science,wikipedia,Directory Access Protocol
DARPA,en,computer_science,wikipedia,Defense Advanced Research Projects Agency
DAS,en,computer_science,wikipedia,Direct Attached Storage
DAT,en,computer_science,wikipedia,Digital Audio Tape
DBCS,en,computer_science,wikipedia,Double Byte Character Set
DCC,en,computer_science,wikipedia,Direct Client-to-Client
DCCA,en,computer_science,wikipedia,Debian Common Core Alliance
DCCP,en,computer_science,wikipedia,Datagram Congestion Control Protocol
DCE,en,computer_science,wikipedia,Data communications equipment
DCL,en,computer_science,wikipedia,Data Control Language
DCMI,en,computer_science,wikipedia,Dublin Core Metadata Initiative
DCOM,en,computer_science,wikipedia,Distributed Component Object Model
DCS,en,computer_science,wikipedia,Distributed Control System
DD,en,computer_science,wikipedia,Double Density
DDE,en,computer_science,wikipedia,Dynamic Data Exchange
DDL,en,computer_science,wikipedia,Data Definition Language
DDOS,en,computer_science,wikipedia,Distributed Denial of Service
DDR,en,computer_science,wikipedia,Double Data Rate
DE,en,computer_science,wikipedia,Desktop environment
DEC,en,computer_science,wikipedia,Digital Equipment Corporation
DEP,en,computer_science,wikipedia,Data Execution Prevention
DER,en,computer_science,wikipedia,Distinguished Encoding Rules
DES,en,computer_science,wikipedia,Data Encryption Standard
DFA,en,computer_science,wikipedia,Deterministic Finite Automaton
DFD,en,computer_science,wikipedia,Data Flow Diagram
DFS,en,computer_science,wikipedia,Distributed File System
DFS,en,computer_science,wikipedia,Depth-First Search
DGD,en,computer_science,wikipedia,Dworkin's Game Driver
DH,en,computer_science,wikipedia,Diffie–Hellman
DHCP,en,computer_science,wikipedia,Dynamic Host Configuration Protocol
DIF,en,computer_science,wikipedia,Data Integrity Field
DIMM,en,computer_science,wikipedia,Dual Inline Memory Module
DIMM,en,computer_science,wikipedia,Dual In-line Memory Module
DIN,en,computer_science,wikipedia,Deutsches Institut für Normung
DIP,en,computer_science,wikipedia,Dual In-line Package
DISM,en,computer_science,wikipedia,Deployment Image and Service Management Tool
DLL,en,computer_science,wikipedia,Dynamic-link library
DLNA,en,computer_science,wikipedia,Digital Living Network Alliance
DLP,en,computer_science,wikipedia,Data loss prevention
DMA,en,computer_science,wikipedia,Direct Memory Access
DMARC,en,computer_science,wikipedia,"Domain-based Message Authentication, Reporting and Conformance"
DMCA,en,computer_science,wikipedia,Digital Millennium Copyright Act
DMI,en,computer_science,wikipedia,Desktop Management Interface
DMI,en,computer_science,wikipedia,Direct Media Interface
DML,en,computer_science,wikipedia,Data Manipulation Language
DML,en,computer_science,wikipedia,Definitive Media Library
DMR,en,computer_science,wikipedia,Dennis M. Ritchie
DN,en,computer_science,wikipedia,Distinguished Name
DNAT,en,computer_science,wikipedia,Destination network address translation
DNP3,en,computer_science,wikipedia,Distributed Network Protocol 3
DNS,en,computer_science,wikipedia,Domain Name System
DOA,en,computer_science,wikipedia,Dead on Arrival
DOCSIS,en,computer_science,wikipedia,Data Over Cable Service Interface Specification
DOH,en,computer_science,wikipedia,DNS over HTTPS
DOM,en,computer_science,wikipedia,Document Object Model
DORA,en,computer_science,wikipedia,"Discover, Offer, Request, Acknowledge"
DOS,en,computer_science,wikipedia,Denial of Service
DOS,en,computer_science,wikipedia,Disk Operating System
DOT,en,computer_science,wikipedia,DNS over TLS
DP,en,computer_science,wikipedia,Dot Pitch
DPC,en,computer_science,wikipedia,Deferred Procedure Call
DPI,en,computer_science,wikipedia,Dots per inch
DPI,en,computer_science,wikipedia,Deep packet inspection
DPMI,en,computer_science,wikipedia,DOS Protected Mode Interface
DPMS,en,computer_science,wikipedia,Display Power Management Signaling
DPO,en,computer_science,wikipedia,Data Protection Officer or Data Privacy Officer
DR,en,computer_science,wikipedia,Disaster Recovery
DRAM,en,computer_science,wikipedia,Dynamic Random-Access Memory
DRBG,en,computer_science,wikipedia,Deterministic random bit generator
DRI,en,computer_science,wikipedia,Direct Rendering Infrastructure
DRM,en,computer_science,wikipedia,Direct rendering manager
DRM,en,computer_science,wikipedia,Digital rights management
DRP,en,computer_science,wikipedia,Disaster recovery plan
DSA,en,computer_science,wikipedia,Digital Signature Algorithm
DSCP,en,computer_science,wikipedia,Differentiated services code point
DSDL,en,computer_science,wikipedia,Document Schema Definition Languages
DSDM,en,computer_science,wikipedia,Dynamic Systems Development Method
DSL,en,computer_science,wikipedia,Digital Subscriber Line
DSL,en,computer_science,wikipedia,Domain-Specific Language
